age_group,hour,room,avg_minutes_per_day,avg_hours_per_day,weighted_respondents,unweighted_respondents,share_of_hour
35-44,19,Sleep,3.75140300917441,0.06252338348624016,16170111588.666594,1220,0.06252338348624017
35-44,19,Work,4.990375245218043,0.08317292075363406,16170111588.666594,1220,0.08317292075363407
35-44,19,Education,0.43779808469817055,0.0072966347449695095,16170111588.666594,1220,0.00729663474496951
35-44,19,Household Activities,7.740869703682167,0.12901449506136944,16170111588.666594,1220,0.12901449506136947
35-44,19,Leisure,32.074241779523874,0.5345706963253979,16170111588.666594,1220,0.534570696325398
35-44,19,Caregiving,7.101242297865814,0.11835403829776356,16170111588.666594,1220,0.11835403829776357
35-44,19,Travel,3.904069879837519,0.06506783133062531,16170111588.666594,1220,0.06506783133062533
35-44,20,Sleep,7.8608330200705945,0.13101388366784325,16170111588.666594,1220,0.13101388366784325
35-44,20,Work,4.96314047750605,0.08271900795843416,16170111588.666594,1220,0.08271900795843416
35-44,20,Education,0.675883362835586,0.011264722713926433,16170111588.666594,1220,0.011264722713926433
35-44,20,Household Activities,5.210119116771609,0.08683531861286015,16170111588.666594,1220,0.08683531861286015
35-44,20,Leisure,32.921559673637326,0.5486926612272888,16170111588.666594,1220,0.5486926612272888
35-44,20,Caregiving,6.269408174672177,0.10449013624453628,16170111588.666594,1220,0.10449013624453628
35-44,20,Travel,2.0990561745066607,0.03498426957511101,16170111588.666594,1220,0.03498426957511101
35-44,21,Sleep,19.62667959343077,0.3271113265571795,16170111588.666594,1220,0.32711132655717945
35-44,21,Work,4.426145814880235,0.07376909691467058,16170111588.666594,1220,0.07376909691467058
35-44,21,Education,0.6096935096368661,0.010161558493947767,16170111588.666594,1220,0.010161558493947767
35-44,21,Household Activities,3.170655756340591,0.05284426260567652,16170111588.666594,1220,0.05284426260567651
35-44,21,Leisure,27.666407895942054,0.4611067982657009,16170111588.666594,1220,0.46110679826570083
35-44,21,Caregiving,2.6448063005471494,0.04408010500911916,16170111588.666594,1220,0.04408010500911915
35-44,21,Travel,1.8556111292223372,0.03092685215370562,16170111588.666594,1220,0.030926852153705615
35-44,22,Sleep,36.086986104657065,0.6014497684109511,16170111588.666594,1220,0.6014497684109511
35-44,22,Work,3.1445628450474166,0.052409380750790276,16170111588.666594,1220,0.05240938075079028
35-44,22,Education,0.25654550595282716,0.004275758432547119,16170111588.666594,1220,0.00427575843254712
35-44,22,Household Activities,1.898255927448413,0.03163759879080688,16170111588.666594,1220,0.03163759879080689
35-44,22,Leisure,16.676138449570487,0.2779356408261748,16170111588.666594,1220,0.27793564082617483
35-44,22,Caregiving,0.7095924108584771,0.011826540180974619,16170111588.666594,1220,0.01182654018097462
35-44,22,Travel,1.227918756465306,0.0204653126077551,16170111588.666594,1220,0.020465312607755103
35-44,23,Sleep,48.94039906696346,0.8156733177827243,16170111588.666594,1220,0.8156733177827244
35-44,23,Work,1.511959758580878,0.025199329309681297,16170111588.666594,1220,0.0251993293096813
35-44,23,Education,0.19262286048085075,0.003210381008014179,16170111588.666594,1220,0.0032103810080141796
35-44,23,Household Activities,0.5753936200372187,0.00958989366728698,16170111588.666594,1220,0.00958989366728698
35-44,23,Leisure,7.6479594803225135,0.12746599133870856,16170111588.666594,1220,0.12746599133870856
35-44,23,Caregiving,0.3863925096686661,0.006439875161144435,16170111588.666594,1220,0.006439875161144436
35-44,23,Travel,0.7452727039464045,0.012421211732440075,16170111588.666594,1220,0.012421211732440077
45-54,0,Sleep,54.328887319971514,0.9054814553328586,14651840258.4984,993,0.9054814553328586
45-54,0,Work,1.2132313239334935,0.020220522065558227,14651840258.4984,993,0.020220522065558227
45-54,0,Household Activities,0.3111789338768412,0.00518631556461402,14651840258.4984,993,0.005186315564614021
45-54,0,Leisure,3.864088098841866,0.0644014683140311,14651840258.4984,993,0.06440146831403111
45-54,0,Caregiving,0.10161534595685805,0.0016935890992809675,14651840258.4984,993,0.0016935890992809677
45-54,0,Travel,0.180998977419422,0.0030166496236570333,14651840258.4984,993,0.0030166496236570337
45-54,1,Sleep,56.63668399407506,0.9439447332345843,14651840258.4984,993,0.9439447332345844
45-54,1,Work,0.8132735147790165,0.013554558579650275,14651840258.4984,993,0.013554558579650277
45-54,1,Education,0.06616168113981939,0.0011026946856636565,14651840258.4984,993,0.0011026946856636567
45-54,1,Household Activities,0.06325924332544183,0.0010543207220906972,14651840258.4984,993,0.0010543207220906974
45-54,1,Leisure,2.144916584569655,0.035748609742827585,14651840258.4984,993,0.03574860974282759
45-54,1,Caregiving,0.13131885425272363,0.0021886475708787273,14651840258.4984,993,0.0021886475708787273
45-54,1,Travel,0.1443861278582811,0.0024064354643046847,14651840258.4984,993,0.002406435464304685
45-54,2,Sleep,57.214098634130266,0.9535683105688377,14651840258.4984,993,0.9535683105688378
45-54,2,Work,0.8068924310908769,0.01344820718484795,14651840258.4984,993,0.013448207184847951
45-54,2,Education,0.06616168113981939,0.0011026946856636565,14651840258.4984,993,0.0011026946856636567
45-54,2,Household Activities,0.06714787258014394,0.0011191312096690657,14651840258.4984,993,0.001119131209669066
45-54,2,Leisure,1.600805523551227,0.02668009205918712,14651840258.4984,993,0.02668009205918712
45-54,2,Caregiving,0.040111496886853275,0.0006685249481142212,14651840258.4984,993,0.0006685249481142213
45-54,2,Travel,0.2047823606208062,0.0034130393436801036,14651840258.4984,993,0.003413039343680104
45-54,3,Sleep,57.28747908100344,0.954791318016724,14651840258.4984,993,0.9547913180167241
45-54,3,Work,0.8617338183355925,0.014362230305593209,14651840258.4984,993,0.01436223030559321
45-54,3,Household Activities,0.09177805113586078,0.0015296341855976796,14651840258.4984,993,0.0015296341855976798
45-54,3,Leisure,1.479410721666863,0.024656845361114385,14651840258.4984,993,0.02465684536111439
45-54,3,Caregiving,0.024809796854605104,0.0004134966142434184,14651840258.4984,993,0.00041349661424341846
45-54,3,Travel,0.2547885310036345,0.004246475516727242,14651840258.4984,993,0.004246475516727242
45-54,4,Sleep,55.79930987836814,0.9299884979728024,14651840258.4984,993,0.9299884979728024
45-54,4,Work,1.6334607327518522,0.027224345545864205,14651840258.4984,993,0.027224345545864205
45-54,4,Education,0.06616168113981939,0.0011026946856636565,14651840258.4984,993,0.0011026946856636565
45-54,4,Household Activities,0.6734731601308483,0.011224552668847473,14651840258.4984,993,0.011224552668847473
45-54,4,Leisure,1.381748018262528,0.0230291336377088,14651840258.4984,993,0.0230291336377088
45-54,4,Caregiving,0.07616817629626779,0.0012694696049377965,14651840258.4984,993,0.0012694696049377965
45-54,4,Travel,0.3696783530505445,0.006161305884175741,14651840258.4984,993,0.006161305884175741
45-54,5,Sleep,49.422684952555564,0.8237114158759261,14651840258.4984,993,0.8237114158759261
45-54,5,Work,3.1662927591138037,0.05277154598523006,14651840258.4984,993,0.05277154598523006
45-54,5,Education,0.06616168113981939,0.0011026946856636565,14651840258.4984,993,0.0011026946856636565
45-54,5,Household Activities,1.7966796947827008,0.029944661579711682,14651840258.4984,993,0.029944661579711682
45-54,5,Leisure,3.285708162721293,0.05476180271202155,14651840258.4984,993,0.05476180271202155
45-54,5,Caregiving,0.28579527774100966,0.004763254629016828,14651840258.4984,993,0.004763254629016828
45-54,5,Travel,1.9766774719458067,0.03294462453243011,14651840258.4984,993,0.03294462453243011
45-54,6,Sleep,36.7055193705875,0.6117586561764584,14651840258.4984,993,0.6117586561764584
45-54,6,Work,7.022509087428557,0.11704181812380929,14651840258.4984,993,0.11704181812380929
45-54,6,Education,0.06616168113981939,0.0011026946856636565,14651840258.4984,993,0.0011026946856636565
45-54,6,Household Activities,4.3065141768814215,0.07177523628135703,14651840258.4984,993,0.07177523628135703
45-54,6,Leisure,6.367329573191034,0.1061221595531839,14651840258.4984,993,0.1061221595531839
45-54,6,Caregiving,1.5223271007257342,0.025372118345428903,14651840258.4984,993,0.025372118345428903
45-54,6,Travel,4.009639010045932,0.06682731683409887,14651840258.4984,993,0.06682731683409887
45-54,7,Sleep,23.19325099054589,0.38655418317576484,14651840258.4984,993,0.38655418317576484
45-54,7,Work,14.082003795992138,0.23470006326653564,14651840258.4984,993,0.23470006326653564
45-54,7,Education,0.02106706788703444,0.00035111779811724067,14651840258.4984,993,0.00035111779811724067
45-54,7,Household Activities,6.042923855283982,0.10071539758806637,14651840258.4984,993,0.10071539758806637
45-54,7,Leisure,8.650461422727647,0.14417435704546078,14651840258.4984,993,0.14417435704546078
45-54,7,Caregiving,2.37296293927697,0.039549382321282835,14651840258.4984,993,0.039549382321282835
45-54,7,Travel,5.637329928286337,0.09395549880477229,14651840258.4984,993,0.09395549880477229
45-54,8,Sleep,13.243269747265915,0.2207211624544319,14651840258.4984,993,0.2207211624544319
45-54,8,Work,22.249200026208452,0.3708200004368075,14651840258.4984,993,0.3708200004368075
45-54,8,Education,0.004642094165501131,7.736823609168552e-05,14651840258.4984,993,7.736823609168552e-05
45-54,8,Household Activities,7.306097772744583,0.12176829621240973,14651840258.4984,993,0.12176829621240973
45-54,8,Leisure,11.591502200094522,0.1931917033349087,14651840258.4984,993,0.1931917033349087
45-54,8,Caregiving,1.4737611649843456,0.024562686083072428,14651840258.4984,993,0.024562686083072428
45-54,8,Travel,4.131526994536683,0.06885878324227805,14651840258.4984,993,0.06885878324227805
45-54,9,Sleep,8.074347969564515,0.1345724661594086,14651840258.4984,993,0.1345724661594086
45-54,9,Work,25.765305471738447,0.42942175786230746,14651840258.4984,993,0.42942175786230746
45-54,9,Education,0.06644327707001778,0.001107387951166963,14651840258.4984,993,0.001107387951166963
45-54,9,Household Activities,8.627917194351058,0.14379861990585097,14651840258.4984,993,0.14379861990585097
45-54,9,Leisure,12.455315619616627,0.20758859366027713,14651840258.4984,993,0.20758859366027713
45-54,9,Caregiving,1.503564852816641,0.025059414213610683,14651840258.4984,993,0.025059414213610683
45-54,9,Travel,3.5071056148426956,0.05845176024737826,14651840258.4984,993,0.05845176024737826
45-54,10,Sleep,4.9962656453441365,0.08327109408906894,14651840258.4984,993,0.08327109408906895
45-54,10,Work,26.56485655467917,0.44274760924465284,14651840258.4984,993,0.4427476092446529
45-54,10,Education,0.09999055851490465,0.0016665093085817442,14651840258.4984,993,0.0016665093085817444
45-54,10,Household Activities,9.600800478579218,0.16001334130965364,14651840258.4984,993,0.16001334130965367
45-54,10,Leisure,13.506714619823427,0.22511191033039044,14651840258.4984,993,0.22511191033039046
45-54,10,Caregiving,1.6850375214415634,0.028083958690692724,14651840258.4984,993,0.028083958690692728
45-54,10,Travel,3.5463346216175724,0.05910557702695954,14651840258.4984,993,0.059105577026959545
45-54,11,Sleep,3.3287518448749958,0.055479197414583264,14651840258.4984,993,0.055479197414583264
45-54,11,Work,25.166745679129978,0.419445761318833,14651840258.4984,993,0.419445761318833
45-54,11,Education,0.04453216550140504,0.0007422027583567507,14651840258.4984,993,0.0007422027583567507
45-54,11,Household Activities,10.116127655196834,0.16860212758661391,14651840258.4984,993,0.16860212758661391
45-54,11,Leisure,16.178347206192196,0.2696391201032033,14651840258.4984,993,0.2696391201032033
45-54,11,Caregiving,1.600644514927577,0.026677408582126284,14651840258.4984,993,0.026677408582126284
45-54,11,Travel,3.564850934177013,0.05941418223628355,14651840258.4984,993,0.05941418223628355
45-54,12,Sleep,3.691270153012364,0.061521169216872736,14651840258.4984,993,0.061521169216872736
45-54,12,Work,21.40795551992823,0.3567992586654705,14651840258.4984,993,0.3567992586654705
45-54,12,Household Activities,10.119079198126485,0.16865131996877475,14651840258.4984,993,0.16865131996877475
45-54,12,Leisure,19.08561576120317,0.3180935960200528,14651840258.4984,993,0.3180935960200528
45-54,12,Caregiving,1.4149963314828504,0.02358327219138084,14651840258.4984,993,0.02358327219138084
45-54,12,Travel,4.281083036246903,0.07135138393744839,14651840258.4984,993,0.07135138393744839
45-54,13,Sleep,3.281540804709851,0.05469234674516418,14651840258.4984,993,0.05469234674516418
45-54,13,Work,23.834375205224887,0.3972395867537481,14651840258.4984,993,0.3972395867537481
45-54,13,Education,0.06255260598950858,0.0010425434331584765,14651840258.4984,993,0.0010425434331584765
45-54,13,Household Activities,9.840958747021983,0.16401597911703306,14651840258.4984,993,0.16401597911703306
45-54,13,Leisure,16.82746131612185,0.2804576886020308,14651840258.4984,993,0.2804576886020308
45-54,13,Caregiving,1.80359934111342,0.030059989018557,14651840258.4984,993,0.030059989018557
45-54,13,Travel,4.349511979818504,0.07249186633030841,14651840258.4984,993,0.07249186633030841
45-54,14,Sleep,3.078022167845039,0.051300369464083985,14651840258.4984,993,0.05130036946408399
45-54,14,Work,24.828906108843498,0.4138151018140583,14651840258.4984,993,0.41381510181405834
45-54,14,Education,0.09193706311440039,0.0015322843852400064,14651840258.4984,993,0.0015322843852400066
45-54,14,Household Activities,9.252812009111912,0.15421353348519853,14651840258.4984,993,0.15421353348519853
45-54,14,Leisure,15.616489407356843,0.2602748234559474,14651840258.4984,993,0.26027482345594743
45-54,14,Caregiving,2.2383091902786014,0.03730515317131002,14651840258.4984,993,0.03730515317131003
45-54,14,Travel,4.893524053449701,0.08155873422416168,14651840258.4984,993,0.0815587342241617
45-54,15,Sleep,3.2474921357192565,0.05412486892865428,14651840258.4984,993,0.05412486892865428
45-54,15,Work,22.55893295410363,0.37598221590172715,14651840258.4984,993,0.37598221590172715
45-54,15,Education,0.09080149667596141,0.0015133582779326901,14651840258.4984,993,0.0015133582779326901
45-54,15,Household Activities,9.12778985507467,0.15212983091791119,14651840258.4984,993,0.15212983091791119
45-54,15,Leisure,16.634788111555135,0.27724646852591894,14651840258.4984,993,0.27724646852591894
45-54,15,Caregiving,2.5548088624186853,0.042580147706978086,14651840258.4984,993,0.042580147706978086
45-54,15,Travel,5.785386584452661,0.09642310974087769,14651840258.4984,993,0.09642310974087769
45-54,16,Sleep,3.398158809289013,0.056635980154816884,14651840258.4984,993,0.056635980154816884
45-54,16,Work,18.305726734734016,0.3050954455789003,14651840258.4984,993,0.3050954455789003
45-54,16,Education,0.09080149667596141,0.0015133582779326901,14651840258.4984,993,0.0015133582779326901
45-54,16,Household Activities,10.354766480871529,0.17257944134785883,14651840258.4984,993,0.17257944134785883
45-54,16,Leisure,18.608734785669977,0.3101455797611663,14651840258.4984,993,0.3101455797611663
45-54,16,Caregiving,2.7486737822497607,0.045811229704162675,14651840258.4984,993,0.045811229704162675
45-54,16,Travel,6.493137910509739,0.10821896517516232,14651840258.4984,993,0.10821896517516232
45-54,17,Sleep,3.443701227329116,0.057395020455485266,14651840258.4984,993,0.057395020455485266
45-54,17,Work,10.296644643371815,0.17161074405619692,14651840258.4984,993,0.17161074405619692
45-54,17,Education,0.07751940892006579,0.001291990148667763,14651840258.4984,993,0.001291990148667763
45-54,17,Household Activities,12.524273993270842,0.20873789988784738,14651840258.4984,993,0.20873789988784738
45-54,17,Leisure,23.54322678888352,0.39238711314805863,14651840258.4984,993,0.39238711314805863
45-54,17,Caregiving,2.55788575668461,0.04263142927807683,14651840258.4984,993,0.04263142927807683
45-54,17,Travel,7.556748181540029,0.12594580302566716,14651840258.4984,993,0.12594580302566716
45-54,18,Sleep,4.01377720987674,0.066896286831279,14651840258.4984,993,0.066896286831279
45-54,18,Work,6.120538973432625,0.10200898289054375,14651840258.4984,993,0.10200898289054375
45-54,18,Education,0.11367411981288676,0.0018945686635481126,14651840258.4984,993,0.0018945686635481126
45-54,18,Household Activities,11.245759251141962,0.18742932085236602,14651840258.4984,993,0.18742932085236602
45-54,18,Leisure,30.75261089318106,0.512543514886351,14651840258.4984,993,0.512543514886351
45-54,18,Caregiving,2.811695903145064,0.04686159838575107,14651840258.4984,993,0.04686159838575107
45-54,18,Travel,4.9419436494096605,0.08236572749016101,14651840258.4984,993,0.08236572749016101
45-54,19,Sleep,5.096861685588748,0.08494769475981247,14651840258.4984,993,0.08494769475981247
45-54,19,Work,4.469096010728183,0.07448493351213639,14651840258.4984,993,0.07448493351213639
45-54,19,Education,0.1677964182095764,0.0027966069701596064,14651840258.4984,993,0.0027966069701596064
45-54,19,Household Activities,7.766112260751493,0.12943520434585823,14651840258.4984,993,0.12943520434585823
45-54,19,Leisure,36.1560101677113,0.602600169461855,14651840258.4984,993,0.602600169461855
45-54,19,Caregiving,2.7678646293505347,0.04613107715584224,14651840258.4984,993,0.04613107715584224
45-54,19,Travel,3.5762588276601623,0.05960431379433604,14651840258.4984,993,0.05960431379433604
45-54,20,Sleep,9.940299723980527,0.16567166206634212,14651840258.4984,993,0.16567166206634212
45-54,20,Work,3.982118532410953,0.06636864220684921,14651840258.4984,993,0.06636864220684921
45-54,20,Education,0.1512099754141796,0.0025201662569029936,14651840258.4984,993,0.0025201662569029936
45-54,20,Household Activities,4.789202852121725,0.07982004753536208,14651840258.4984,993,0.07982004753536208
45-54,20,Leisure,36.03618971284969,0.6006031618808282,14651840258.4984,993,0.6006031618808282
45-54,20,Caregiving,2.7613815668349475,0.046023026113915795,14651840258.4984,993,0.046023026113915795
45-54,20,Travel,2.339597636387979,0.03899329393979965,14651840258.4984,993,0.03899329393979965
45-54,21,Sleep,22.092074521920853,0.3682012420320142,14651840258.4984,993,0.36820124203201426
45-54,21,Work,3.2210486293677993,0.053684143822796654,14651840258.4984,993,0.05368414382279666
45-54,21,Education,0.1455884523236381,0.0024264742053939684,14651840258.4984,993,0.0024264742053939684
45-54,21,Household Activities,3.4863745735797806,0.058106242892996346,14651840258.4984,993,0.05810624289299635
45-54,21,Leisure,27.391690868902884,0.4565281811483814,14651840258.4984,993,0.45652818114838145
45-54,21,Caregiving,1.5289889410068767,0.025483149016781278,14651840258.4984,993,0.02548314901678128
45-54,21,Travel,2.134234012898159,0.035570566881635984,14651840258.4984,993,0.03557056688163599
45-54,22,Sleep,38.20585678986956,0.6367642798311592,14651840258.4984,993,0.6367642798311594
45-54,22,Work,2.528866111367744,0.04214776852279574,14651840258.4984,993,0.04214776852279574
45-54,22,Education,0.06616168113981939,0.0011026946856636565,14651840258.4984,993,0.0011026946856636567
45-54,22,Household Activities,1.967484742660454,0.03279141237767423,14651840258.4984,993,0.03279141237767424
45-54,22,Leisure,15.552402711761767,0.2592067118626961,14651840258.4984,993,0.2592067118626961
45-54,22,Caregiving,0.7412988377896922,0.012354980629828203,14651840258.4984,993,0.012354980629828205
45-54,22,Travel,0.9379291254109547,0.01563215209018258,14651840258.4984,993,0.01563215209018258
45-54,23,Sleep,49.400739312749494,0.8233456552124916,14651840258.4984,993,0.8233456552124917
45-54,23,Work,1.6687142796697625,0.02781190466116271,14651840258.4984,993,0.02781190466116271
45-54,23,Education,0.06616168113981939,0.0011026946856636565,14651840258.4984,993,0.0011026946856636567
45-54,23,Household Activities,0.8590223548132097,0.014317039246886827,14651840258.4984,993,0.014317039246886829
45-54,23,Leisure,7.115073929970489,0.11858456549950815,14651840258.4984,993,0.11858456549950816
45-54,23,Caregiving,0.4192806333853388,0.006988010556422313,14651840258.4984,993,0.006988010556422314
45-54,23,Travel,0.4710078082718828,0.007850130137864713,14651840258.4984,993,0.007850130137864715
55-64,0,Sleep,54.33084099951907,0.9055140166586512,15086059857.122107,1232,0.905514016658651
55-64,0,Work,1.1319847473228457,0.018866412455380763,15086059857.122107,1232,0.01886641245538076
55-64,0,Household Activities,0.4707644174914672,0.007846073624857787,15086059857.122107,1232,0.007846073624857786
55-64,0,Leisure,3.7733156687039195,0.06288859447839866,15086059857.122107,1232,0.06288859447839865
55-64,0,Caregiving,0.06262153811661517,0.0010436923019435862,15086059857.122107,1232,0.001043692301943586
55-64,0,Travel,0.2304726288460914,0.00384121048076819,15086059857.122107,1232,0.0038412104807681894
55-64,1,Sleep,56.4094041293855,0.9401567354897583,15086059857.122107,1232,0.9401567354897582
55-64,1,Work,1.0782602196467708,0.017971003660779514,15086059857.122107,1232,0.01797100366077951
55-64,1,Household Activities,0.15910070224609,0.0026516783707681664,15086059857.122107,1232,0.0026516783707681664
55-64,1,Leisure,2.190838318860151,0.036513971981002515,15086059857.122107,1232,0.036513971981002515
55-64,1,Caregiving,0.10220804440229841,0.0017034674067049735,15086059857.122107,1232,0.0017034674067049735
55-64,1,Travel,0.060188585459194144,0.0010031430909865692,15086059857.122107,1232,0.001003143090986569
55-64,2,Sleep,57.361238037561336,0.9560206339593555,15086059857.122107,1232,0.9560206339593555
55-64,2,Work,0.9959847403371271,0.016599745672285452,15086059857.122107,1232,0.016599745672285452
55-64,2,Household Activities,0.0685845058041552,0.0011430750967359202,15086059857.122107,1232,0.0011430750967359202
55-64,2,Leisure,1.4815083004228264,0.024691805007047107,15086059857.122107,1232,0.024691805007047107
55-64,2,Caregiving,0.04174769207774345,0.0006957948679623908,15086059857.122107,1232,0.0006957948679623908
55-64,2,Travel,0.05093672379681307,0.0008489453966135512,15086059857.122107,1232,0.0008489453966135512
55-64,3,Sleep,57.46875894169554,0.957812649028259,15086059857.122107,1232,0.957812649028259
55-64,3,Work,0.9042281381882336,0.015070468969803892,15086059857.122107,1232,0.015070468969803892
55-64,3,Household Activities,0.35773186334334,0.005962197722389,15086059857.122107,1232,0.005962197722389
55-64,3,Leisure,1.0885717135515562,0.01814286189252594,15086059857.122107,1232,0.01814286189252594
55-64,3,Travel,0.18070934322132526,0.0030118223870220875,15086059857.122107,1232,0.0030118223870220875
55-64,4,Sleep,53.77117283189639,0.8961862138649399,15086059857.122107,1232,0.8961862138649397
55-64,4,Work,1.6173672029614725,0.026956120049357876,15086059857.122107,1232,0.02695612004935787
55-64,4,Household Activities,0.7608766066730684,0.012681276777884474,15086059857.122107,1232,0.01268127677788447
55-64,4,Leisure,2.879098778899631,0.04798497964832718,15086059857.122107,1232,0.047984979648327174
55-64,4,Caregiving,0.22480249942242592,0.0037467083237070985,15086059857.122107,1232,0.0037467083237070977
55-64,4,Travel,0.7466820801470172,0.01244470133578362,15086059857.122107,1232,0.012444701335783617
55-64,5,Sleep,47.75313146858834,0.7958855244764724,15086059857.122107,1232,0.7958855244764724
55-64,5,Work,3.1481571809559217,0.052469286349265364,15086059857.122107,1232,0.052469286349265364
55-64,5,Household Activities,2.0370369929827175,0.03395061654971196,15086059857.122107,1232,0.03395061654971196
55-64,5,Leisure,4.61954011016138,0.07699233516935634,15086059857.122107,1232,0.07699233516935634
55-64,5,Caregiving,0.4129125413798579,0.006881875689664298,15086059857.122107,1232,0.006881875689664298
55-64,5,Travel,2.029221705931784,0.03382036176552973,15086059857.122107,1232,0.03382036176552973
55-64,6,Sleep,37.27045247401164,0.6211742079001941,15086059857.122107,1232,0.6211742079001941
55-64,6,Work,5.927936259392732,0.09879893765654553,15086059857.122107,1232,0.09879893765654553
55-64,6,Household Activities,4.565873893133548,0.07609789821889247,15086059857.122107,1232,0.07609789821889247
55-64,6,Leisure,7.9755924167480226,0.1329265402791337,15086059857.122107,1232,0.1329265402791337
55-64,6,Caregiving,0.7027113540224454,0.011711855900374091,15086059857.122107,1232,0.011711855900374091
55-64,6,Travel,3.55743360269161,0.05929056004486017,15086059857.122107,1232,0.05929056004486017
55-64,7,Sleep,24.540035900765098,0.409000598346085,15086059857.122107,1232,0.409000598346085
